bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,taxvaluedollarcnt,yearbuilt,fips,county
2,2.0,1140,424373,1952.0,6037,Los Angeles County
3,2.0,1513,444772,1956.0,6037,Los Angeles County
3,2.0,1463,145467,1974.0,6059,Orange County
4,2.0,2053,422000,2001.0,6111,Ventura County
3,2.0,1428,542822,2008.0,6059,Orange County
3,2.5,2120,466852,1988.0,6111,Ventura County
3,1.0,1768,1244391,1971.0,6111,Ventura County
2,2.0,1338,332389,2001.0,6059,Orange County
4,3.5,3305,861475,1990.0,6059,Orange County
4,2.0,1867,969563,1939.0,6037,Los Angeles County
2,2.0,1551,78438,1947.0,6037,Los Angeles County
3,2.0,1301,53470,1955.0,6059,Orange County
3,2.5,1574,476193,1973.0,6059,Orange County
2,2.5,2455,753337,2001.0,6059,Orange County
2,2.0,1238,266296,1950.0,6037,Los Angeles County
3,2.0,1820,279703,1966.0,6037,Los Angeles County
3,3.0,2078,1100000,1927.0,6037,Los Angeles County
5,6.0,4858,673921,1992.0,6037,Los Angeles County
4,2.0,1965,475354,1978.0,6037,Los Angeles County
2,2.0,1212,52012,1955.0,6059,Orange County
3,2.0,1340,258882,1955.0,6037,Los Angeles County
3,3.0,1730,650000,1952.0,6037,Los Angeles County
4,2.5,1963,800017,1984.0,6059,Orange County
4,2.0,1600,83619,1961.0,6037,Los Angeles County
3,2.0,1441,75523,1913.0,6037,Los Angeles County
5,3.0,3104,1141991,1972.0,6037,Los Angeles County
3,3.0,1964,1017322,1959.0,6037,Los Angeles County
2,2.0,2175,571489,1977.0,6059,Orange County
2,1.0,1191,107855,1938.0,6037,Los Angeles County
2,1.0,629,405083,1913.0,6037,Los Angeles County
4,2.0,1705,104336,1959.0,6037,Los Angeles County
3,4.0,3287,2016514,2002.0,6037,Los Angeles County
4,2.5,3196,852810,1976.0,6059,Orange County
3,2.0,1839,602593,1929.0,6037,Los Angeles County
3,2.0,1864,272596,1948.0,6037,Los Angeles County
3,2.0,1470,380896,1957.0,6037,Los Angeles County
4,2.0,1642,629196,1969.0,6059,Orange County
3,3.0,2884,788400,1962.0,6037,Los Angeles County
3,2.0,1294,249848,1952.0,6037,Los Angeles County
2,3.0,2539,524782,1990.0,6059,Orange County
4,2.0,1176,324566,1954.0,6037,Los Angeles County
4,2.0,1835,62048,1964.0,6111,Ventura County
3,2.0,1970,145959,1948.0,6037,Los Angeles County
3,2.5,1574,450231,1997.0,6059,Orange County
4,2.5,2037,102831,1971.0,6059,Orange County
3,3.0,2872,649760,1953.0,6037,Los Angeles County
3,4.0,4936,458317,1954.0,6037,Los Angeles County
5,3.0,2032,116560,1956.0,6037,Los Angeles County
4,4.5,3709,1213223,1989.0,6059,Orange County
3,2.5,1522,274057,1987.0,6059,Orange County
3,1.0,1250,481675,1920.0,6037,Los Angeles County
4,2.5,3094,868000,1990.0,6059,Orange County
3,3.5,3116,827059,1992.0,6059,Orange County
2,2.0,1396,79890,1951.0,6037,Los Angeles County
4,2.0,1631,450380,1977.0,6037,Los Angeles County
3,1.0,1035,221905,1952.0,6037,Los Angeles County
4,4.5,3929,1264000,2001.0,6059,Orange County
5,4.5,3894,802977,1998.0,6059,Orange County
4,3.0,2507,786055,2014.0,6059,Orange County
5,5.5,4713,1330030,2005.0,6059,Orange County
4,4.0,3793,1170263,1990.0,6037,Los Angeles County
5,3.0,3108,943000,2005.0,6059,Orange County
5,2.0,1746,69976,1963.0,6111,Ventura County
4,2.5,2537,246345,1978.0,6059,Orange County
3,2.0,1206,326026,1953.0,6037,Los Angeles County
3,2.0,1570,434855,1956.0,6037,Los Angeles County
2,1.0,981,218089,1939.0,6037,Los Angeles County
2,1.0,1484,161802,1913.0,6037,Los Angeles County
5,3.0,3108,635000,2006.0,6037,Los Angeles County
3,2.0,1518,424414,1947.0,6037,Los Angeles County
3,2.0,1614,1106837,1923.0,6037,Los Angeles County
3,3.0,2663,921231,1996.0,6059,Orange County
5,5.5,5829,902405,1988.0,6111,Ventura County
4,4.0,3165,864313,1935.0,6037,Los Angeles County
4,3.5,2798,832240,1967.0,6059,Orange County
4,2.0,1248,77121,1949.0,6037,Los Angeles County
6,4.5,4085,1235761,1976.0,6059,Orange County
5,5.0,3848,1502570,2000.0,6037,Los Angeles County
4,3.5,3734,841297,2004.0,6111,Ventura County
4,2.0,1540,281173,1961.0,6037,Los Angeles County
4,2.5,2206,630082,1998.0,6059,Orange County
5,1.0,2986,78654,1921.0,6037,Los Angeles County
4,4.0,3382,797049,2003.0,6037,Los Angeles County
3,2.0,1655,941769,1964.0,6059,Orange County
5,2.0,1924,478684,1951.0,6037,Los Angeles County
3,3.0,2047,418130,1963.0,6037,Los Angeles County
3,3.5,3467,978850,1992.0,6059,Orange County
3,2.0,1376,50114,1955.0,6037,Los Angeles County
4,2.5,2614,931010,1961.0,6059,Orange County
4,3.0,2826,816053,1977.0,6059,Orange County
6,4.0,4157,1060442,1930.0,6037,Los Angeles County
3,2.0,1473,283502,1968.0,6037,Los Angeles County
3,2.0,1312,169290,1978.0,6037,Los Angeles County
2,2.5,1348,343967,1979.0,6059,Orange County
3,2.0,1221,367034,1955.0,6059,Orange County
3,2.0,1462,79713,1950.0,6037,Los Angeles County
2,1.0,768,270458,1926.0,6037,Los Angeles County
4,4.0,3696,940251,1989.0,6037,Los Angeles County
2,1.0,927,197886,1942.0,6037,Los Angeles County
5,4.0,1976,344835,1969.0,6037,Los Angeles County
3,2.0,1780,420862,1969.0,6037,Los Angeles County
3,2.0,1445,280021,1955.0,6037,Los Angeles County
4,3.0,2622,432910,1987.0,6059,Orange County
3,3.0,2167,416092,2001.0,6037,Los Angeles County
3,2.5,2400,892000,1998.0,6059,Orange County
3,2.0,1907,893699,1959.0,6059,Orange County
3,2.0,1817,174757,1985.0,6037,Los Angeles County
3,2.0,1801,660451,1965.0,6059,Orange County
4,4.0,2954,735227,1924.0,6037,Los Angeles County
4,2.0,1390,429900,1962.0,6059,Orange County
2,1.0,823,148542,1986.0,6037,Los Angeles County
4,3.0,2966,654241,2001.0,6037,Los Angeles County
2,2.0,1540,456340,1938.0,6037,Los Angeles County
3,3.0,1925,522000,1979.0,6037,Los Angeles County
2,1.0,959,309818,1952.0,6111,Ventura County
3,1.5,1293,193379,1954.0,6059,Orange County
2,1.0,1113,766295,1928.0,6037,Los Angeles County
4,3.0,2365,83516,1955.0,6059,Orange County
6,3.0,1682,94289,1921.0,6037,Los Angeles County
4,3.0,2270,419327,1964.0,6037,Los Angeles County
5,4.0,3681,1850800,1993.0,6059,Orange County
4,2.0,1451,150793,1984.0,6037,Los Angeles County
3,2.0,1474,72644,1957.0,6037,Los Angeles County
3,2.0,1545,582528,1963.0,6059,Orange County
3,2.0,1407,82563,1964.0,6059,Orange County
3,2.0,1275,316958,1963.0,6059,Orange County
4,4.0,3407,2311622,2007.0,6037,Los Angeles County
3,2.0,1692,473664,2003.0,6059,Orange County
3,1.0,1141,494000,1944.0,6111,Ventura County
3,1.0,1312,239881,1953.0,6111,Ventura County
3,2.0,1240,646000,1962.0,6059,Orange County
2,1.0,1124,619302,1948.0,6037,Los Angeles County
4,2.0,2357,666000,1963.0,6037,Los Angeles County
3,2.0,1387,65552,1955.0,6059,Orange County
4,3.0,3151,1533203,1967.0,6059,Orange County
4,3.0,2077,482767,1935.0,6037,Los Angeles County
5,3.0,2136,476361,1959.0,6037,Los Angeles County
4,2.0,1804,629454,1944.0,6037,Los Angeles County
2,2.0,913,249000,1984.0,6037,Los Angeles County
3,2.0,1454,353534,1979.0,6111,Ventura County
1,1.0,700,271950,1924.0,6037,Los Angeles County
4,1.0,1360,117352,1972.0,6059,Orange County
4,2.0,1250,195535,1954.0,6037,Los Angeles County
3,1.0,1230,321665,1929.0,6037,Los Angeles County
2,2.0,1202,682719,1953.0,6037,Los Angeles County
5,3.0,1623,568540,1958.0,6059,Orange County
3,2.0,1541,255000,2007.0,6037,Los Angeles County
4,2.0,1308,186233,1957.0,6037,Los Angeles County
3,3.0,1738,458000,1999.0,6111,Ventura County
4,3.0,2754,557671,2001.0,6111,Ventura County
3,2.0,1827,97506,1964.0,6037,Los Angeles County
3,2.5,1404,342037,1973.0,6059,Orange County
2,1.0,825,346902,1948.0,6037,Los Angeles County
2,1.0,930,403446,1952.0,6037,Los Angeles County
3,2.0,1200,378787,1954.0,6037,Los Angeles County
4,2.0,2362,98331,1926.0,6037,Los Angeles County
3,2.0,1164,162000,1990.0,6037,Los Angeles County
4,1.0,1338,55546,1959.0,6037,Los Angeles County
3,2.0,1897,71397,1937.0,6037,Los Angeles County
3,2.0,1908,140689,2005.0,6037,Los Angeles County
3,2.5,1690,354023,1989.0,6059,Orange County
3,2.0,1542,488653,1971.0,6037,Los Angeles County
6,4.0,3298,221977,1966.0,6037,Los Angeles County
3,2.0,1958,241000,2007.0,6037,Los Angeles County
4,2.5,1794,100458,1974.0,6059,Orange County
5,3.5,3128,947000,1976.0,6111,Ventura County
2,1.0,1006,55188,1918.0,6037,Los Angeles County
3,2.0,1059,329780,1962.0,6059,Orange County
2,1.0,1207,55254,1939.0,6037,Los Angeles County
4,2.5,2369,129615,1964.0,6059,Orange County
3,3.0,2791,325376,1964.0,6037,Los Angeles County
5,2.5,2328,97551,1966.0,6059,Orange County
3,3.5,3076,481476,1990.0,6059,Orange County
2,2.0,1623,478726,1924.0,6037,Los Angeles County
3,1.0,947,407998,1947.0,6037,Los Angeles County
3,2.0,1272,72433,1964.0,6037,Los Angeles County
4,2.5,2161,330226,1977.0,6059,Orange County
3,3.0,2496,741200,1959.0,6037,Los Angeles County
2,1.0,724,235118,1926.0,6037,Los Angeles County
3,2.0,1329,124876,1977.0,6059,Orange County
4,3.0,1987,434811,1976.0,6059,Orange County
2,1.0,720,406099,1948.0,6037,Los Angeles County
3,1.0,1008,192111,1947.0,6037,Los Angeles County
3,1.0,1072,374000,1950.0,6037,Los Angeles County
4,2.5,1686,189534,1962.0,6111,Ventura County
3,2.0,1736,439400,1967.0,6037,Los Angeles County
3,3.0,2735,689574,1986.0,6059,Orange County
3,2.0,1976,403193,1955.0,6037,Los Angeles County
2,1.0,749,153005,1950.0,6037,Los Angeles County
3,2.0,1470,399808,1942.0,6037,Los Angeles County
3,1.0,1120,67850,1923.0,6037,Los Angeles County
3,2.0,1175,296847,1956.0,6037,Los Angeles County
4,3.0,1813,259061,1947.0,6037,Los Angeles County
2,1.0,775,253000,1946.0,6037,Los Angeles County
3,1.0,1108,380000,1951.0,6037,Los Angeles County
3,2.0,1601,971425,1935.0,6037,Los Angeles County
3,2.0,1285,451596,1956.0,6059,Orange County
4,2.0,2404,216611,1911.0,6037,Los Angeles County
5,3.0,2305,251082,2007.0,6059,Orange County
3,1.0,1102,324675,1958.0,6037,Los Angeles County
4,2.0,1320,54543,1959.0,6037,Los Angeles County
5,3.0,2694,337206,1962.0,6059,Orange County
3,2.0,1830,538803,1927.0,6037,Los Angeles County
2,1.0,837,273690,1949.0,6059,Orange County
3,2.0,1222,251828,1954.0,6037,Los Angeles County
2,1.0,929,254327,1950.0,6037,Los Angeles County
4,4.0,2908,1206396,1978.0,6037,Los Angeles County
5,4.0,2748,347112,1984.0,6037,Los Angeles County
3,2.5,2374,571680,2003.0,6059,Orange County
3,2.0,1159,372315,1954.0,6037,Los Angeles County
4,2.5,2178,514672,1977.0,6059,Orange County
3,2.0,1938,194058,1963.0,6037,Los Angeles County
3,1.0,888,369568,1952.0,6037,Los Angeles County
2,1.0,864,385000,1963.0,6059,Orange County
3,2.0,1612,930943,1956.0,6037,Los Angeles County
4,3.0,2328,912900,1940.0,6037,Los Angeles County
3,2.5,1984,507269,1955.0,6059,Orange County
3,1.0,2005,96932,1954.0,6037,Los Angeles County
4,3.0,2101,325163,1985.0,6037,Los Angeles County
4,2.0,1222,310659,1957.0,6037,Los Angeles County
3,2.0,1203,605000,1951.0,6037,Los Angeles County
4,2.0,1615,175797,1990.0,6037,Los Angeles County
3,2.0,1296,113161,1977.0,6059,Orange County
2,2.0,980,304575,1928.0,6037,Los Angeles County
2,1.0,907,222816,1950.0,6037,Los Angeles County
4,2.0,1633,403856,1965.0,6037,Los Angeles County
3,3.0,1482,751284,1941.0,6037,Los Angeles County
4,3.0,2763,199490,1975.0,6037,Los Angeles County
4,2.5,1766,265884,1984.0,6111,Ventura County
4,3.0,3008,848828,1993.0,6111,Ventura County
4,3.0,2547,599485,1966.0,6037,Los Angeles County
2,1.0,957,48324,1911.0,6037,Los Angeles County
3,2.0,1510,623097,1958.0,6037,Los Angeles County
3,2.0,1393,214330,1983.0,6037,Los Angeles County
4,3.0,2615,943167,1995.0,6059,Orange County
3,2.5,2003,460481,1983.0,6059,Orange County
4,1.0,1781,220631,2012.0,6037,Los Angeles County
4,2.0,1574,412191,1954.0,6037,Los Angeles County
2,1.0,1668,751285,1949.0,6037,Los Angeles County
3,2.0,1798,890558,1948.0,6037,Los Angeles County
6,3.0,3136,512524,1997.0,6059,Orange County
4,3.0,3142,690442,1980.0,6059,Orange County
3,2.0,1290,440101,1955.0,6037,Los Angeles County
2,1.0,796,378787,1940.0,6037,Los Angeles County
2,2.0,1323,402224,1986.0,6059,Orange County
5,5.5,4412,860256,1998.0,6059,Orange County
5,3.0,2981,655440,1999.0,6037,Los Angeles County
3,1.0,1045,353537,1954.0,6037,Los Angeles County
5,3.0,1813,311205,1960.0,6059,Orange County
4,2.0,1913,244802,2011.0,6037,Los Angeles County
4,4.0,4039,1143171,2015.0,6037,Los Angeles County
5,3.0,2470,727000,1972.0,6037,Los Angeles County
3,2.0,1221,374482,1951.0,6037,Los Angeles County
2,1.0,795,270560,1950.0,6037,Los Angeles County
3,1.0,1228,68302,1950.0,6037,Los Angeles County
3,2.0,1372,200767,1956.0,6059,Orange County
3,2.0,1472,379265,1963.0,6037,Los Angeles County
3,4.5,4096,1583790,2014.0,6059,Orange County
4,2.0,2057,1386417,1958.0,6037,Los Angeles County
2,2.0,1055,86337,1986.0,6037,Los Angeles County
4,2.0,2098,340200,1955.0,6037,Los Angeles County
3,2.0,1886,536475,1987.0,6111,Ventura County
4,1.0,2546,603334,1915.0,6037,Los Angeles County
3,2.0,1972,244037,1992.0,6037,Los Angeles County
3,2.0,1353,129412,1955.0,6059,Orange County
2,1.0,808,178029,1925.0,6037,Los Angeles County
3,2.0,1196,342168,1958.0,6037,Los Angeles County
2,2.0,1649,1600000,1941.0,6037,Los Angeles County
2,1.0,797,308444,1950.0,6059,Orange County
4,2.0,1257,178088,1955.0,6037,Los Angeles County
3,3.0,1721,893041,1966.0,6037,Los Angeles County
2,1.0,970,340000,1950.0,6037,Los Angeles County
3,3.0,1860,187545,1992.0,6037,Los Angeles County
2,2.0,1793,146172,1954.0,6037,Los Angeles County
3,2.0,1209,185000,1987.0,6037,Los Angeles County
4,3.0,3092,1380739,1957.0,6037,Los Angeles County
4,5.0,3828,817802,1969.0,6037,Los Angeles County
5,3.0,3304,665343,1991.0,6059,Orange County
4,3.0,2092,557194,1974.0,6037,Los Angeles County
4,2.0,1433,392542,1978.0,6037,Los Angeles County
4,3.5,4976,767551,2005.0,6059,Orange County
3,2.0,1412,93146,1941.0,6037,Los Angeles County
4,2.0,1352,75588,1912.0,6037,Los Angeles County
4,2.5,2411,181858,1977.0,6111,Ventura County
3,2.5,1958,657839,1963.0,6111,Ventura County
4,2.0,1178,223459,1951.0,6037,Los Angeles County
3,3.0,2287,753587,1978.0,6037,Los Angeles County
5,5.0,3135,2132481,1951.0,6037,Los Angeles County
4,2.5,2990,599991,1982.0,6059,Orange County
2,2.0,1080,130028,1973.0,6037,Los Angeles County
4,2.0,1826,609178,1970.0,6059,Orange County
3,2.0,2309,1283856,1939.0,6037,Los Angeles County
3,2.0,1425,185679,1990.0,6037,Los Angeles County
3,3.0,1344,288913,2013.0,6037,Los Angeles County
4,2.5,2722,402014,1968.0,6059,Orange County
2,1.0,1403,428209,1948.0,6059,Orange County
2,2.0,1110,406000,1981.0,6059,Orange County
2,1.0,815,267338,1950.0,6037,Los Angeles County
3,1.0,1218,428201,1954.0,6037,Los Angeles County
2,2.0,1140,153848,1987.0,6037,Los Angeles County
3,1.0,1293,74713,1930.0,6037,Los Angeles County
3,2.5,1367,253159,1984.0,6111,Ventura County
3,2.0,1674,1218300,1923.0,6037,Los Angeles County
2,1.0,925,317972,1971.0,6059,Orange County
4,1.0,1648,241443,1909.0,6037,Los Angeles County
2,1.0,810,239289,1950.0,6037,Los Angeles County
4,1.0,1452,190938,1956.0,6037,Los Angeles County
4,2.0,2152,377405,1970.0,6111,Ventura County
3,2.5,1658,491216,1973.0,6059,Orange County
2,1.0,1227,312066,1948.0,6111,Ventura County
3,1.0,1300,400000,1952.0,6037,Los Angeles County
4,3.0,3206,359107,1970.0,6037,Los Angeles County
5,3.0,2992,500504,1988.0,6037,Los Angeles County
4,2.0,1386,436557,1968.0,6059,Orange County
3,1.0,1598,50277,1929.0,6037,Los Angeles County
3,3.0,1733,223700,1990.0,6037,Los Angeles County
3,2.0,1319,390328,1956.0,6037,Los Angeles County
3,4.0,2535,1697653,1949.0,6037,Los Angeles County
4,3.0,2470,613876,1989.0,6037,Los Angeles County
3,2.0,1589,985000,1947.0,6037,Los Angeles County
3,2.0,1447,416667,1949.0,6037,Los Angeles County
3,2.0,1156,459000,1977.0,6111,Ventura County
1,1.0,572,122119,1922.0,6037,Los Angeles County
3,2.5,1780,305488,1976.0,6059,Orange County
5,3.0,2972,746208,1984.0,6059,Orange County
3,2.0,1277,65551,1960.0,6059,Orange County
3,3.0,3307,643233,1987.0,6059,Orange County
3,2.0,1480,97162,1957.0,6037,Los Angeles County
3,2.0,1286,267065,1960.0,6059,Orange County
4,1.0,1480,63732,1922.0,6037,Los Angeles County
4,3.0,2303,963046,1985.0,6037,Los Angeles County
5,3.0,1832,342818,1961.0,6059,Orange County
4,3.0,2990,1475000,1955.0,6037,Los Angeles County
4,2.0,1885,201596,1994.0,6037,Los Angeles County
2,1.0,1068,213245,1920.0,6037,Los Angeles County
3,3.0,4327,134360,1951.0,6037,Los Angeles County
5,4.0,2776,477465,2006.0,6037,Los Angeles County
4,2.0,1713,243265,1948.0,6037,Los Angeles County
2,1.0,900,47374,1940.0,6037,Los Angeles County
4,4.0,3229,620000,1980.0,6037,Los Angeles County
3,2.0,1788,228431,1983.0,6037,Los Angeles County
3,3.0,2639,90867,1949.0,6059,Orange County
3,1.0,1369,406100,1953.0,6037,Los Angeles County
3,2.0,1540,71577,1962.0,6059,Orange County
3,1.0,902,124262,1952.0,6037,Los Angeles County
3,3.0,1701,126435,1951.0,6037,Los Angeles County
4,3.0,2243,409619,1983.0,6037,Los Angeles County
3,1.0,1301,319803,1946.0,6037,Los Angeles County
3,2.0,1428,418171,1961.0,6037,Los Angeles County
3,2.0,1754,88381,1963.0,6037,Los Angeles County
3,2.0,1258,914739,1923.0,6037,Los Angeles County
5,5.0,5177,1884205,1966.0,6037,Los Angeles County
3,1.0,1174,64356,1952.0,6037,Los Angeles County
3,2.0,1608,64833,1955.0,6059,Orange County
2,2.0,1602,406100,1949.0,6037,Los Angeles County
2,2.0,1391,1267429,1957.0,6037,Los Angeles County
4,3.0,3124,502000,2005.0,6037,Los Angeles County
3,2.0,1731,607981,1921.0,6037,Los Angeles County
4,2.0,1665,76372,1969.0,6037,Los Angeles County
3,2.0,2160,213955,1938.0,6037,Los Angeles County
4,2.0,1608,436156,1964.0,6111,Ventura County
3,3.0,2015,86725,1962.0,6037,Los Angeles County
5,3.0,2936,640115,1966.0,6059,Orange County
3,2.5,1540,494545,1973.0,6059,Orange County
5,1.0,2413,500000,1953.0,6059,Orange County
3,2.0,1222,340203,1968.0,6037,Los Angeles County
3,2.0,1574,163417,1990.0,6037,Los Angeles County
5,3.0,2131,272697,1983.0,6037,Los Angeles County
4,2.0,1878,420242,1929.0,6037,Los Angeles County
3,2.0,1866,539333,1953.0,6037,Los Angeles County
3,2.0,1867,198419,1938.0,6037,Los Angeles County
2,1.0,1312,74190,1960.0,6037,Los Angeles County
4,3.0,2854,2414488,1960.0,6037,Los Angeles County
4,2.5,2076,276576,1962.0,6111,Ventura County
3,3.0,2538,878288,1966.0,6037,Los Angeles County
4,2.5,2761,556255,1998.0,6059,Orange County
3,2.5,1371,404542,2012.0,6111,Ventura County
3,2.0,1676,283892,1940.0,6037,Los Angeles County
4,3.0,2352,293034,1989.0,6037,Los Angeles County
2,1.0,1103,185917,1936.0,6037,Los Angeles County
4,3.0,2708,516871,1964.0,6037,Los Angeles County
3,4.0,2447,917223,1942.0,6037,Los Angeles County
4,2.0,1209,90868,1954.0,6037,Los Angeles County
3,2.0,1822,390202,1995.0,6111,Ventura County
3,3.0,2276,433432,2012.0,6037,Los Angeles County
4,2.0,1323,453000,1964.0,6111,Ventura County
4,2.0,1339,298371,1977.0,6037,Los Angeles County
2,2.0,1231,161897,1950.0,6037,Los Angeles County
5,3.0,3008,472384,1995.0,6059,Orange County
2,1.0,996,58693,1940.0,6037,Los Angeles County
4,2.0,1329,62194,1944.0,6037,Los Angeles County
3,2.5,1666,362552,1997.0,6111,Ventura County
3,1.0,1568,57311,1919.0,6037,Los Angeles County
2,1.0,836,62411,1939.0,6037,Los Angeles County
3,3.0,2261,1760407,1936.0,6037,Los Angeles County
4,3.0,2541,880456,2003.0,6059,Orange County
4,3.0,2541,880456,2003.0,6059,Orange County
4,5.0,3563,1352708,2009.0,6037,Los Angeles County
3,2.0,1300,105152,1945.0,6037,Los Angeles County
3,2.0,1615,417432,1941.0,6037,Los Angeles County
5,5.0,3682,580891,1978.0,6037,Los Angeles County
2,1.0,874,447063,1940.0,6037,Los Angeles County
2,1.0,1166,318269,1941.0,6037,Los Angeles County
3,3.0,3458,1128173,1955.0,6037,Los Angeles County
3,3.0,2273,913724,1937.0,6037,Los Angeles County
3,2.0,1515,742000,1951.0,6037,Los Angeles County
2,1.0,1032,1218300,1924.0,6037,Los Angeles County
5,5.0,4086,943847,1988.0,6037,Los Angeles County
4,2.0,2097,110131,1924.0,6037,Los Angeles County
4,1.0,1400,1294443,1923.0,6037,Los Angeles County
1,1.0,600,449245,1955.0,6037,Los Angeles County
4,2.5,2035,261784,1970.0,6111,Ventura County
3,2.5,1677,229948,1984.0,6059,Orange County
3,2.0,1578,1081322,1948.0,6037,Los Angeles County
4,3.0,2176,175867,1953.0,6037,Los Angeles County
3,3.0,2158,464000,1991.0,6037,Los Angeles County
3,2.0,1792,452614,1977.0,6059,Orange County
4,2.5,1721,266714,1997.0,6111,Ventura County
4,3.0,2700,1225600,2002.0,6037,Los Angeles County
3,2.0,1032,314801,1925.0,6037,Los Angeles County
2,1.0,794,1319825,1952.0,6037,Los Angeles County
3,2.0,1879,654000,1951.0,6059,Orange County
3,2.0,1316,219386,1961.0,6037,Los Angeles County
3,2.0,1359,319978,1960.0,6037,Los Angeles County
2,2.0,1236,588000,1952.0,6037,Los Angeles County
2,1.0,931,243349,1954.0,6037,Los Angeles County
3,1.5,1000,315758,1955.0,6059,Orange County
4,4.0,4494,963436,1941.0,6037,Los Angeles County
4,2.5,2579,1242641,2000.0,6059,Orange County
3,1.0,1504,293621,1926.0,6037,Los Angeles County
4,2.0,2513,400000,2005.0,6037,Los Angeles County
4,2.0,1476,223714,2003.0,6037,Los Angeles County
2,1.0,1212,270457,1949.0,6037,Los Angeles County
6,3.0,3230,395573,1992.0,6037,Los Angeles County
2,1.0,760,221860,1926.0,6037,Los Angeles County
5,4.5,4099,887450,1985.0,6111,Ventura County
4,2.0,1348,495442,1955.0,6059,Orange County
4,2.5,1936,435823,1986.0,6111,Ventura County
2,1.0,1022,401000,1951.0,6037,Los Angeles County
5,4.0,3458,954934,1978.0,6037,Los Angeles County
4,2.5,1863,449692,2015.0,6111,Ventura County
2,1.0,964,53793,1941.0,6037,Los Angeles County
3,1.0,914,58877,1953.0,6037,Los Angeles County
4,2.0,1393,85279,1954.0,6037,Los Angeles County
3,2.0,1316,271716,1957.0,6059,Orange County
3,2.0,1498,300722,1952.0,6037,Los Angeles County
3,2.0,1501,223761,1988.0,6037,Los Angeles County
3,2.0,1391,58131,1958.0,6059,Orange County
2,1.0,846,97495,1928.0,6111,Ventura County
3,1.0,1026,287013,1950.0,6037,Los Angeles County
3,2.0,1216,103582,1956.0,6037,Los Angeles County
2,1.0,1090,54618,1926.0,6037,Los Angeles County
2,1.0,906,310693,1942.0,6037,Los Angeles County
3,1.5,1050,50559,1963.0,6059,Orange County
3,2.0,1409,295907,1962.0,6059,Orange County
2,1.0,1492,60419,1940.0,6037,Los Angeles County
4,3.0,2150,161318,1976.0,6059,Orange County
5,3.0,2411,562121,1964.0,6059,Orange County
3,2.0,1331,507625,1957.0,6059,Orange County
3,3.0,1793,195738,1987.0,6037,Los Angeles County
4,3.0,3055,130000,1967.0,6059,Orange County
4,2.0,1828,559526,1968.0,6111,Ventura County
2,1.0,1315,401880,1952.0,6037,Los Angeles County
3,2.0,1682,416252,1918.0,6037,Los Angeles County
4,2.0,1386,58921,1957.0,6111,Ventura County
4,2.0,2113,396040,1962.0,6111,Ventura County
3,2.0,1194,61666,1954.0,6037,Los Angeles County
4,3.0,2108,254301,2010.0,6037,Los Angeles County
3,1.0,825,46477,1953.0,6037,Los Angeles County
5,3.0,2947,650452,2008.0,6037,Los Angeles County
2,2.0,1466,92531,1949.0,6037,Los Angeles County
3,2.5,1518,338071,2003.0,6111,Ventura County
